,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal_docs,facing_direction,front_width,price_unit,front_width_unit,front_road_width,front_road_width_unit,balcony_direction,interior
12516,Nhà riêng,2.55,15.0,m²,3.0,1.0,,"Đường Trần Bình Trọng, Phường 5, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,2.0,tỷ,m,3.0,m,,
12517,Nhà riêng,7.7,112.7,m²,4.0,2.0,,"Đường 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,4.3,tỷ,m,3.5,m,,
12518,Nhà riêng,11.0,68.0,m²,10.0,10.0,,"Đường Huỳnh Đình Hai, Phường 14, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,3.5,tỷ,m,8.0,m,,Full NT.
12519,Nhà riêng,4.7,56.0,m²,5.0,5.0,,"Hẻm 27, Đường Điện Biên Phủ, Phường 15, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,,tỷ,,,,,Cơ bản
12520,Nhà riêng,21.6,64.0,m²,3.0,3.0,,"Đường Tây Sơn, Phường Trung Liệt, Đống Đa, Hà Nội",Hà Nội,Đống Đa,Sổ đỏ/hồng riêng,,4.6,tỷ,m,,,,Đầy đủ
12521,Nhà riêng,7.5,126.0,m²,3.0,2.0,,"Phường Vĩnh Hải, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Sổ đỏ/hồng riêng,Tây - Nam,7.0,tỷ,m,5.5,m,,Đầy đủ
12522,Nhà riêng,9.5,213.1,m²,5.0,3.0,,"Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Sổ đỏ/hồng riêng,Đông,8.0,tỷ,m,4.0,m,,
12523,Nhà riêng,6.5,51.2,m²,3.0,4.0,,"Đường Định Cư, Phường Tân Tiến, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Sổ đỏ/hồng riêng,Đông - Bắc,5.2,tỷ,m,7.0,m,,
12524,Nhà riêng,6.9,55.0,m²,5.0,5.0,,"Đường Bùi Thế Mỹ, Phường 10, Tân Bình, Hồ Chí Minh",TP.HCM,Tân Bình,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12525,Nhà riêng,6.95,57.4,m²,3.0,3.0,,"Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,3.0,tỷ,m,3.0,m,,Đầy đủ
12526,Nhà riêng,12.9,55.7,m²,4.0,4.0,,"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",TP.HCM,Phú Nhuận,Sổ đỏ/hồng riêng,,4.3,tỷ,m,4.5,m,,Đầy đủ.
12527,Nhà riêng,5.9,27.7,m²,4.0,4.0,,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,4.0,tỷ,m,2.5,m,,Đầy đủ
12529,Nhà riêng,12.1,113.0,m²,,,,"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,8.0,tỷ,m,,,,
12530,Nhà riêng,5.9,41.0,m²,3.0,3.0,,"Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình, Hồ Chí Minh",TP.HCM,Tân Bình,Sổ đỏ/hồng riêng,,,tỷ,,,,,
12531,Nhà riêng,9.8,68.0,m²,4.0,,,"Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,Đông - Bắc,5.3,tỷ,m,3.0,m,,Tặng toàn bộ nội thất đẹp
12532,Biệt thự,22.0,180.0,m²,4.0,5.0,,"Dự án KĐT biển An Viên, Phường Vĩnh Trường, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Khác/Không rõ,Tây - Bắc,,tỷ,,13.0,m,,
12533,Biệt thự,78.5,200.0,m²,4.0,4.0,,"Ciputra Hà Nội, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Sổ đỏ/hồng riêng,,9.0,tỷ,m,30.0,m,,Cơ bản
12534,Biệt thự,7.9,100.0,m²,4.0,4.0,,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,Bắc,5.0,tỷ,m,20.0,m,,
12535,Biệt thự,,100.0,m²,,,,"Dự án Hinode Royal Park, Đường Quốc lộ 32, Xã Di Trạch, Hoài Đức, Hà Nội",Hà Nội,Hoài Đức,Hợp đồng mua bán,,,,,,,,
12536,Biệt thự,,120.0,m²,,,,"Dự án Louis City Đại Mỗ, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Sổ đỏ/hồng riêng,,6.0,,m,40.0,m,,
12537,Biệt thự,5.5,120.0,m²,3.0,3.0,,"Dự án CaraWorld Cam Ranh, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",Khánh Hòa,Cam Ranh,Hợp đồng mua bán,Bắc,,tỷ,,,,,Đầy đủ
12538,Biệt thự,38.0,170.0,m²,,,,"Dự án Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Sổ đỏ/hồng riêng,Đông - Nam,8.5,tỷ,m,215.0,m,,
12539,Biệt thự,15.0,80.0,m²,,,,"Hinode Royal Park, Quốc lộ 32, Di Trạch, Hoài Đức, Hà Nội",Hà Nội,Hoài Đức,Sổ đỏ/hồng riêng,,5.0,tỷ,m,,,,
12540,Biệt thự,27.0,123.0,m²,4.0,4.0,,"Dự án Khu dân cư Sông Giồng, Đường 11, Phường An Phú, Quận 2, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,Nam,7.0,tỷ,m,26.0,m,Nam,
12541,Biệt thự,80.0,180.0,m²,,,,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Sổ đỏ/hồng riêng,Bắc,9.0,tỷ,m,30.0,m,Bắc,
12542,Biệt thự,44.949999999999996,310.0,m²,6.0,6.0,,"Khu biệt thự Hoa Phượng, Lê Trọng Tấn, An Khánh, Hoài Đức, Hà Nội",Hà Nội,Hoài Đức,Sổ đỏ/hồng riêng,,,triệu/m²,,,,,
12543,Biệt thự,,123.0,m²,5.0,5.0,,"Dự án Nam An Khánh, Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội",Hà Nội,Hoài Đức,Hợp đồng mua bán,Nam,6.5,,m,16.0,m,Nam,Cơ bản
12544,Biệt thự,13.9,164.0,m²,3.0,3.0,,"Dự án Khu đô thị ID Junction, Thị trấn Long Thành, Long Thành, Đồng Nai",Đồng Nai,Long Thành,Hợp đồng mua bán,Đông - Bắc,,tỷ,,14.0,m,Đông - Bắc,Hoàn thiện bên ngoài thô bên trong
12545,Biệt thự,31.0,75.0,m²,,,,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Khác/Không rõ,,5.0,tỷ,m,,,,
12546,Biệt thự,13.5,75.0,m²,,,,"Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",Hà Nội,Thường Tín,Khác/Không rõ,,5.0,tỷ,m,15.0,m,,
